Product ID,Product Name,Category,Unit Price,Available Stock,Expiry Date
DAEG06,Eggs,Dairy,16.39,300,2024-06-12
GRPA06,Pasta,Groceries,9.45,386,2024-05-14
HESO03,Soap,Health & Beauty,13.95,417,2024-03-16
GRBR05,Bread,Groceries,3.95,253,-
CLBL11,Bleach,Cleaning,15.69,261,-
BEWA01,Water,Beverages,9.21,157,2024-11-22
HESO04,Soap,Health & Beauty,2.06,239,2024-07-25
HESH06,Shampoo,Health & Beauty,7.63,451,2024-09-30
HESO05,Soap,Health & Beauty,6.45,73,2024-06-18
BETE02,Tea,Beverages,10.2,108,2024-09-10
GRBR06,Bread,Groceries,1.08,352,2024-11-04
GRBE06,Beans,Groceries,12.42,26,2024-11-01
HESH07,Shampoo,Health & Beauty,1.88,134,-
HESH08,Shampoo,Health & Beauty,13.86,48,2024-08-17
DACH08,Cheese,Dairy,15.65,493,-
CLDI08,Disinfectant,Cleaning,18.24,281,2024-03-18
HETO05,Toothpaste,Health & Beauty,8.19,422,2024-03-14
CLDE07,Detergent,Cleaning,5.92,128,2024-10-24
HESH09,Shampoo,Health & Beauty,8.64,250,2024-08-27
BESO04,Soda,Beverages,7.47,93,-
BETE03,Tea,Beverages,4.72,234,2024-03-28
DACH09,Cheese,Dairy,13.11,259,2024-09-29
CLBL12,Bleach,Cleaning,19.5,424,2024-07-29
CLDE08,Detergent,Cleaning,13.04,313,2024-11-23
BECO01,Coffee,Beverages,3.86,298,2024-09-23
DAYO04,Yogurt,Dairy,5.28,45,-
HESO06,Soap,Health & Beauty,10.84,462,-
GRBR07,Bread,Groceries,7.07,120,2024-03-22
DAEG07,Eggs,Dairy,8.51,180,2024-03-22
GRBR08,Bread,Groceries,1.55,454,2024-12-05
HESO07,Soap,Health & Beauty,16.64,466,2024-09-26
DAMI03,Milk,Dairy,12.28,463,2024-10-03
GRBE07,Beans,Groceries,12.97,57,2024-12-01
CLBL13,Bleach,Cleaning,8.03,55,2024-06-18
CLDE09,Detergent,Cleaning,15.26,338,2024-08-06
HESO08,Soap,Health & Beauty,5.14,309,2024-05-02
CLDE10,Detergent,Cleaning,4.39,283,2024-04-24
GRPA07,Pasta,Groceries,18.35,383,2024-09-20
BESO05,Soda,Beverages,18.6,164,-
GRPA08,Pasta,Groceries,16.27,255,2024-12-12
DAMI04,Milk,Dairy,15.3,214,2024-11-20
DABU02,Butter,Dairy,14.55,210,2024-10-27
GRBR09,Bread,Groceries,4.17,88,2024-12-27
DAEG08,Eggs,Dairy,19.35,255,2024-06-21
GRBR10,Bread,Groceries,13.03,12,2024-09-08
HESO09,Soap,Health & Beauty,5.54,405,2024-08-28
BEJU06,Juice,Beverages,12.62,113,2024-06-22
HESH10,Shampoo,Health & Beauty,17.13,376,-
HETO06,Toothpaste,Health & Beauty,19.45,84,2024-12-26
CLBL14,Bleach,Cleaning,5.39,384,2024-04-23
GRRI03,Rice,Groceries,19.94,101,2024-04-05
GRRI04,Rice,Groceries,10.01,368,2024-10-06
HESO10,Soap,Health & Beauty,9.75,45,2024-09-29
GRBR11,Bread,Groceries,1.53,96,-
DAYO05,Yogurt,Dairy,3.2,306,-
HETO07,Toothpaste,Health & Beauty,12.36,303,-
GRRI05,Rice,Groceries,14.53,439,2024-03-27
GRBE08,Beans,Groceries,6.32,289,-
CLBL15,Bleach,Cleaning,14.81,154,-
HESO11,Soap,Health & Beauty,9.49,177,2024-05-26
HESO12,Soap,Health & Beauty,1.64,214,2024-09-26
GRRI06,Rice,Groceries,18.33,61,2024-08-07
DAEG09,Eggs,Dairy,5.26,109,2024-12-03
CLDE11,Detergent,Cleaning,17.82,318,2024-12-20
CLBL16,Bleach,Cleaning,3.11,259,-
CLBL17,Bleach,Cleaning,3.61,341,2024-09-01
BETE04,Tea,Beverages,6.92,37,2024-04-06
DACH10,Cheese,Dairy,8.1,151,2024-03-23
DAYO06,Yogurt,Dairy,2.84,49,2024-12-28
GRBR12,Bread,Groceries,8.49,130,2024-07-23
DAEG10,Eggs,Dairy,13.78,136,2024-09-05
BEJU07,Juice,Beverages,10.15,281,2024-07-11
HESH11,Shampoo,Health & Beauty,15.94,250,2024-05-19
GRPA09,Pasta,Groceries,4.71,251,2024-10-19
GRBE09,Beans,Groceries,2.19,318,2024-11-12
GRRI07,Rice,Groceries,15.42,316,-
DABU03,Butter,Dairy,17.01,345,2024-07-01
GRBR13,Bread,Groceries,13.51,309,-
CLBL18,Bleach,Cleaning,12.17,135,2024-08-03
BEWA02,Water,Beverages,7.27,17,2024-09-16
CLDI09,Disinfectant,Cleaning,4.54,368,2024-03-08
HESO13,Soap,Health & Beauty,1.07,202,2024-12-21
BESO06,Soda,Beverages,6.28,87,2024-03-21
CLBL19,Bleach,Cleaning,9.8,92,2024-11-08
HETO08,Toothpaste,Health & Beauty,2.18,264,2024-06-04
GRBE10,Beans,Groceries,2.4,63,-
BETE05,Tea,Beverages,9.62,309,2024-12-11
DAYO07,Yogurt,Dairy,4.65,64,2024-12-18
HESO14,Soap,Health & Beauty,8.81,419,2024-07-06
CLDE12,Detergent,Cleaning,16.02,120,2024-03-03
CLBL20,Bleach,Cleaning,9.68,154,2024-10-11
GRBR14,Bread,Groceries,19.18,260,2024-09-14
BESO07,Soda,Beverages,19.9,446,2024-04-23
BESO08,Soda,Beverages,8.94,375,2024-09-11
HESH12,Shampoo,Health & Beauty,10.62,126,-
DACH11,Cheese,Dairy,6.27,334,2024-11-29
BEJU08,Juice,Beverages,5.57,255,2024-12-07
DACH12,Cheese,Dairy,10.01,257,2024-04-30
CLDE13,Detergent,Cleaning,11.48,286,2024-10-07
DAMI05,Milk,Dairy,16.75,39,-
CLDE14,Detergent,Cleaning,17.77,82,2024-09-06
HESH13,Shampoo,Health & Beauty,15.66,455,2024-08-01
HETO09,Toothpaste,Health & Beauty,10.61,120,-
GRPA10,Pasta,Groceries,4.39,108,-
HESH14,Shampoo,Health & Beauty,5.06,111,2024-08-29
BESO09,Soda,Beverages,6.76,229,2024-05-28
BESO10,Soda,Beverages,19.46,221,2024-09-06
BESO11,Soda,Beverages,19.75,158,2024-05-03
GRRI08,Rice,Groceries,4.63,97,2024-08-08
BETE06,Tea,Beverages,8.36,375,2024-08-29
CLBL21,Bleach,Cleaning,14.2,398,-
HESH15,Shampoo,Health & Beauty,15.33,293,2024-09-04
HETO10,Toothpaste,Health & Beauty,5.1,185,2024-09-17
CLDI10,Disinfectant,Cleaning,19.78,347,2024-10-14
GRBR15,Bread,Groceries,12.68,377,2024-12-20
BEWA03,Water,Beverages,4.15,73,2024-12-21
BETE07,Tea,Beverages,12.81,318,2024-06-06
CLDI11,Disinfectant,Cleaning,10.51,461,2024-07-03
HESH16,Shampoo,Health & Beauty,5.22,120,-
CLBL22,Bleach,Cleaning,13.0,133,-
HETO11,Toothpaste,Health & Beauty,2.35,56,2024-08-14
DAMI06,Milk,Dairy,3.92,439,-
HETO12,Toothpaste,Health & Beauty,4.54,412,2024-08-06
CLDE15,Detergent,Cleaning,5.11,286,2024-03-18
GRRI09,Rice,Groceries,8.55,63,2024-03-09
HESO15,Soap,Health & Beauty,16.36,355,2024-06-09
GRRI10,Rice,Groceries,7.46,417,-
DAYO08,Yogurt,Dairy,15.57,101,2024-06-19
DAEG11,Eggs,Dairy,19.38,344,2024-11-11
DACH13,Cheese,Dairy,13.49,440,2024-06-03
HETO13,Toothpaste,Health & Beauty,9.98,252,2024-12-13
BECO02,Coffee,Beverages,13.08,171,2024-12-25
BEJU09,Juice,Beverages,5.44,287,2024-10-04
GRPA11,Pasta,Groceries,2.24,86,2024-06-14
GRPA12,Pasta,Groceries,18.81,299,2024-12-04
GRRI11,Rice,Groceries,3.81,333,2024-03-14
GRBE11,Beans,Groceries,9.53,122,-
CLDI12,Disinfectant,Cleaning,3.85,146,-
GRPA13,Pasta,Groceries,6.73,186,2024-06-25
CLDI13,Disinfectant,Cleaning,18.65,23,2024-06-23
CLDE16,Detergent,Cleaning,5.3,493,-
GRBE12,Beans,Groceries,16.03,49,2024-05-12
DAYO09,Yogurt,Dairy,11.06,288,2024-07-03
DAYO10,Yogurt,Dairy,10.97,380,2024-07-15
GRRI12,Rice,Groceries,18.18,205,2024-12-27
HESO16,Soap,Health & Beauty,13.6,289,2024-10-07
HESO17,Soap,Health & Beauty,2.41,112,2024-12-16
HESO18,Soap,Health & Beauty,10.88,42,2024-07-18
CLBL23,Bleach,Cleaning,18.95,359,2024-12-06
DACH14,Cheese,Dairy,7.28,425,2024-11-07
BESO12,Soda,Beverages,19.5,311,2024-07-23
CLDI14,Disinfectant,Cleaning,14.18,261,-
BEJU10,Juice,Beverages,18.56,68,2024-07-05
BESO13,Soda,Beverages,3.1,219,2024-12-21
DAMI07,Milk,Dairy,7.13,177,2024-05-17
CLBL24,Bleach,Cleaning,16.66,192,2024-11-30
DABU04,Butter,Dairy,11.49,230,-
DAYO11,Yogurt,Dairy,3.14,283,-
GRPA14,Pasta,Groceries,3.58,457,-
HETO14,Toothpaste,Health & Beauty,19.45,111,2024-08-18
CLDI15,Disinfectant,Cleaning,10.94,32,-
GRPA15,Pasta,Groceries,14.0,395,2024-09-16
DACH15,Cheese,Dairy,16.02,180,2024-12-01
BEWA04,Water,Beverages,1.57,369,2024-06-20
DACH16,Cheese,Dairy,16.99,303,-
HESH17,Shampoo,Health & Beauty,4.96,291,2024-03-20
BECO03,Coffee,Beverages,17.67,457,2024-07-08
DAYO12,Yogurt,Dairy,10.74,141,2024-09-25
GRRI13,Rice,Groceries,2.26,472,-
CLDE17,Detergent,Cleaning,16.47,408,-
CLDE18,Detergent,Cleaning,10.04,363,2024-03-14
DAEG12,Eggs,Dairy,2.03,21,2024-07-20
BECO04,Coffee,Beverages,3.29,299,-
CLDE19,Detergent,Cleaning,5.3,341,2024-09-17
DACH17,Cheese,Dairy,9.67,32,2024-12-20
HESO19,Soap,Health & Beauty,8.54,324,2024-12-18
CLBL25,Bleach,Cleaning,4.69,116,2024-06-13
CLDI16,Disinfectant,Cleaning,11.96,462,2024-03-10
HESH18,Shampoo,Health & Beauty,1.03,203,2024-06-18
HESO20,Soap,Health & Beauty,16.99,394,2024-11-26
DACH18,Cheese,Dairy,1.24,183,2024-09-02
DAYO13,Yogurt,Dairy,6.8,193,2024-03-15
HETO15,Toothpaste,Health & Beauty,9.28,143,-
DAYO14,Yogurt,Dairy,18.88,403,2024-08-10
DAEG13,Eggs,Dairy,17.3,193,2024-07-21
CLDI17,Disinfectant,Cleaning,4.43,423,-
DABU05,Butter,Dairy,9.11,334,2024-03-04
HESO21,Soap,Health & Beauty,12.02,230,2024-09-14
DAMI08,Milk,Dairy,16.07,78,-
HESO22,Soap,Health & Beauty,5.6,242,2024-09-28
GRRI14,Rice,Groceries,17.86,310,-
HESO23,Soap,Health & Beauty,11.56,220,2024-05-14
CLBL26,Bleach,Cleaning,4.9,38,2024-04-17
BETE08,Tea,Beverages,19.45,246,-
CLBL27,Bleach,Cleaning,15.38,243,-
HETO16,Toothpaste,Health & Beauty,6.37,118,2024-12-12
CLDE20,Detergent,Cleaning,15.06,16,2024-07-20
GRBR16,Bread,Groceries,8.79,323,2024-03-21
BEJU11,Juice,Beverages,16.56,106,2024-10-11
BECO05,Coffee,Beverages,10.57,437,2024-08-24
BEWA05,Water,Beverages,11.11,147,2024-07-25
CLDE21,Detergent,Cleaning,8.12,222,2024-08-22
GRPA16,Pasta,Groceries,4.69,23,2024-07-25
GRBE13,Beans,Groceries,10.56,88,2024-07-10
HETO17,Toothpaste,Health & Beauty,3.1,387,2024-06-17
GRRI15,Rice,Groceries,2.26,141,2024-10-05
HETO18,Toothpaste,Health & Beauty,13.54,105,2024-08-15
BEWA06,Water,Beverages,18.95,283,2024-09-05
DACH19,Cheese,Dairy,13.73,350,2024-11-10
HETO19,Toothpaste,Health & Beauty,19.53,287,2024-12-22
DACH20,Cheese,Dairy,15.36,184,2024-04-16
HESO24,Soap,Health & Beauty,9.73,104,-
HETO20,Toothpaste,Health & Beauty,11.4,280,2024-04-16
BESO14,Soda,Beverages,14.24,305,2024-05-21
BECO06,Coffee,Beverages,5.69,132,2024-07-15
BEWA07,Water,Beverages,15.82,318,2024-03-22
CLDE22,Detergent,Cleaning,1.46,262,2024-11-15
HETO21,Toothpaste,Health & Beauty,15.3,399,2024-06-13
CLBL28,Bleach,Cleaning,8.2,107,2024-05-15
DAYO15,Yogurt,Dairy,2.29,76,2024-11-19
HESO25,Soap,Health & Beauty,11.38,53,-
BETE09,Tea,Beverages,18.28,187,-
DAEG14,Eggs,Dairy,14.29,378,-
HESO26,Soap,Health & Beauty,10.23,251,2024-07-26
HESO27,Soap,Health & Beauty,6.81,345,-
CLBL29,Bleach,Cleaning,15.83,376,2024-05-14
DACH21,Cheese,Dairy,17.67,301,2024-08-15
CLDI18,Disinfectant,Cleaning,17.27,79,-
DABU06,Butter,Dairy,16.12,256,2024-04-26
BESO15,Soda,Beverages,13.05,311,2024-06-04
GRBE14,Beans,Groceries,4.04,364,2024-06-07
DAEG15,Eggs,Dairy,1.37,326,2024-12-05
BECO07,Coffee,Beverages,8.35,462,2024-06-02
BEJU12,Juice,Beverages,18.83,473,-
GRBR17,Bread,Groceries,1.45,121,2024-08-30
BECO08,Coffee,Beverages,17.45,482,2024-04-11
DABU07,Butter,Dairy,10.16,250,2024-07-05
BESO16,Soda,Beverages,14.62,26,2024-05-16
BESO17,Soda,Beverages,1.54,214,2024-09-18
HESO28,Soap,Health & Beauty,6.07,284,2024-08-03
CLDE23,Detergent,Cleaning,6.49,173,-
GRBR18,Bread,Groceries,11.49,281,-
BETE10,Tea,Beverages,5.19,60,-
HETO22,Toothpaste,Health & Beauty,8.44,412,2024-06-22
BESO18,Soda,Beverages,12.24,49,2024-11-17
CLDI19,Disinfectant,Cleaning,3.43,75,2024-11-05
HESO29,Soap,Health & Beauty,13.25,24,2024-03-08
HESH19,Shampoo,Health & Beauty,19.65,18,2024-05-09
HESH20,Shampoo,Health & Beauty,1.55,394,2024-08-21
CLDE24,Detergent,Cleaning,17.98,189,2024-08-22
CLDI20,Disinfectant,Cleaning,1.21,280,2024-07-31
HESO30,Soap,Health & Beauty,4.09,98,-
HESO31,Soap,Health & Beauty,18.51,237,2024-06-26
GRBR19,Bread,Groceries,8.75,350,2024-09-09
CLBL30,Bleach,Cleaning,17.29,100,2024-11-20
GRPA17,Pasta,Groceries,14.84,401,2024-06-29
DABU08,Butter,Dairy,14.72,499,2024-10-02
CLBL31,Bleach,Cleaning,5.77,440,-
GRPA18,Pasta,Groceries,15.02,333,2024-06-13
DAMI09,Milk,Dairy,17.33,124,2024-12-04
DAYO16,Yogurt,Dairy,17.7,292,2024-05-18
HETO23,Toothpaste,Health & Beauty,1.45,439,2024-11-20
DAMI10,Milk,Dairy,18.87,487,-
HETO24,Toothpaste,Health & Beauty,8.01,133,-
HETO25,Toothpaste,Health & Beauty,12.49,74,2024-09-28
DACH22,Cheese,Dairy,14.38,234,-
HESO32,Soap,Health & Beauty,8.07,134,2024-05-25
HETO26,Toothpaste,Health & Beauty,6.69,347,2024-03-30
BETE11,Tea,Beverages,7.54,496,2024-05-19
BEWA08,Water,Beverages,16.94,176,2024-07-05
HESO33,Soap,Health & Beauty,14.64,99,2024-10-13
BEWA09,Water,Beverages,4.38,483,2024-08-23
GRRI16,Rice,Groceries,6.64,449,2024-12-26
GRRI17,Rice,Groceries,9.79,109,-
DACH23,Cheese,Dairy,15.61,81,-
CLDI21,Disinfectant,Cleaning,6.13,316,2024-07-07
HESH21,Shampoo,Health & Beauty,7.02,405,2024-05-13
BETE12,Tea,Beverages,11.02,312,2024-03-08
GRPA19,Pasta,Groceries,7.18,497,2024-03-14
HESH22,Shampoo,Health & Beauty,6.34,296,2024-09-04
DAYO17,Yogurt,Dairy,16.87,347,2024-10-09
HETO27,Toothpaste,Health & Beauty,11.68,20,-
BEWA10,Water,Beverages,15.96,298,2024-04-27
CLDI22,Disinfectant,Cleaning,14.3,114,-
BESO19,Soda,Beverages,7.97,56,2024-07-26
BECO09,Coffee,Beverages,12.24,357,2024-11-27
HESO34,Soap,Health & Beauty,2.41,101,2024-12-13
BECO10,Coffee,Beverages,16.78,77,2024-05-24
BECO11,Coffee,Beverages,13.22,19,2024-11-19
HESO35,Soap,Health & Beauty,9.09,228,-
HESO36,Soap,Health & Beauty,13.4,277,2024-06-12
HESO37,Soap,Health & Beauty,4.12,372,2024-10-16
DAMI11,Milk,Dairy,14.96,313,2024-05-10
DAEG16,Eggs,Dairy,1.41,349,2024-09-12
GRPA20,Pasta,Groceries,12.47,452,-
CLDE25,Detergent,Cleaning,11.05,281,2024-06-23
CLBL32,Bleach,Cleaning,5.06,36,-
HESO38,Soap,Health & Beauty,3.24,337,2024-05-21
BESO20,Soda,Beverages,13.7,56,2024-04-08
CLDE26,Detergent,Cleaning,7.4,55,2024-05-25
BEJU13,Juice,Beverages,18.58,365,2024-08-16
GRBE15,Beans,Groceries,12.66,108,2024-07-07
HESO39,Soap,Health & Beauty,2.7,339,2024-04-24
BESO21,Soda,Beverages,4.86,417,2024-08-24
HESO40,Soap,Health & Beauty,19.22,344,-
CLBL33,Bleach,Cleaning,16.96,498,-
HETO28,Toothpaste,Health & Beauty,8.83,123,2024-04-03
DABU09,Butter,Dairy,6.76,213,2024-03-26
BEJU14,Juice,Beverages,7.11,314,-
HESH23,Shampoo,Health & Beauty,11.98,201,2024-05-28
DACH24,Cheese,Dairy,12.35,469,2024-12-14
BESO22,Soda,Beverages,8.07,426,-
BESO23,Soda,Beverages,5.66,409,2024-03-10
CLBL34,Bleach,Cleaning,7.49,445,2024-12-04
GRBR20,Bread,Groceries,2.77,185,2024-07-23
BESO24,Soda,Beverages,8.48,431,2024-10-04
GRRI18,Rice,Groceries,9.81,195,2024-07-02
BESO25,Soda,Beverages,7.83,288,2024-09-14
DAYO18,Yogurt,Dairy,13.15,239,-
CLBL35,Bleach,Cleaning,9.75,12,2024-11-09
GRBR21,Bread,Groceries,7.53,298,2024-05-25
CLBL36,Bleach,Cleaning,4.29,479,2024-11-07
DAMI12,Milk,Dairy,13.55,305,2024-09-20
CLBL37,Bleach,Cleaning,9.46,424,2024-12-22
CLDE27,Detergent,Cleaning,6.97,398,2024-10-31
GRBR22,Bread,Groceries,8.45,169,2024-10-03
HESH24,Shampoo,Health & Beauty,19.15,241,2024-08-18
DAEG17,Eggs,Dairy,18.39,319,2024-09-07
HESH25,Shampoo,Health & Beauty,14.37,102,2024-07-20
HESH26,Shampoo,Health & Beauty,11.27,228,2024-07-07
CLDE28,Detergent,Cleaning,11.65,106,2024-03-19
HETO29,Toothpaste,Health & Beauty,4.49,14,2024-04-23
HESO41,Soap,Health & Beauty,18.3,377,2024-07-22
GRBE16,Beans,Groceries,11.96,133,2024-06-18
HESO42,Soap,Health & Beauty,18.24,64,2024-08-11
CLDE29,Detergent,Cleaning,7.97,445,2024-04-07
GRRI19,Rice,Groceries,7.67,131,-
DACH25,Cheese,Dairy,5.77,324,2024-05-05
CLDE30,Detergent,Cleaning,19.51,351,2024-03-24
BESO26,Soda,Beverages,11.0,57,2024-11-01
HESO43,Soap,Health & Beauty,1.76,183,2024-05-28
CLDE31,Detergent,Cleaning,16.79,298,2024-10-26
BEWA11,Water,Beverages,2.98,138,2024-12-04
HESH27,Shampoo,Health & Beauty,19.7,435,2024-11-16
BESO27,Soda,Beverages,16.0,328,2024-09-07
CLDE32,Detergent,Cleaning,14.8,497,2024-11-13
DABU10,Butter,Dairy,11.06,54,2024-11-21
DABU11,Butter,Dairy,12.88,439,2024-07-22
GRBE17,Beans,Groceries,8.13,428,2024-11-29
HESO44,Soap,Health & Beauty,14.33,469,2024-07-26
GRPA21,Pasta,Groceries,12.74,401,2024-07-02
HESH28,Shampoo,Health & Beauty,4.26,328,-
GRBR23,Bread,Groceries,12.32,87,2024-11-15
HESH29,Shampoo,Health & Beauty,7.65,90,2024-04-30
DABU12,Butter,Dairy,5.43,454,2024-11-27
DACH26,Cheese,Dairy,4.82,479,2024-08-23
BESO28,Soda,Beverages,12.63,47,2024-05-15
GRBR24,Bread,Groceries,11.44,52,-
DAMI13,Milk,Dairy,18.05,218,2024-08-04
GRRI20,Rice,Groceries,17.18,494,-
BESO29,Soda,Beverages,10.21,250,2024-04-24
GRPA22,Pasta,Groceries,5.26,174,2024-03-06
BEWA12,Water,Beverages,9.33,366,2024-05-12
CLDE33,Detergent,Cleaning,4.24,230,2024-07-29
GRPA23,Pasta,Groceries,10.46,199,2024-10-04
HESH30,Shampoo,Health & Beauty,3.99,79,2024-03-31
CLDE34,Detergent,Cleaning,4.22,469,-
DABU13,Butter,Dairy,6.06,493,2024-11-12
CLBL38,Bleach,Cleaning,15.66,128,2024-06-10
HETO30,Toothpaste,Health & Beauty,9.97,159,-
HETO31,Toothpaste,Health & Beauty,13.93,497,2024-08-23
DAYO19,Yogurt,Dairy,6.47,138,2024-05-29
HESH31,Shampoo,Health & Beauty,15.17,292,2024-12-30
GRRI21,Rice,Groceries,10.46,353,2024-05-07
BECO12,Coffee,Beverages,1.2,399,2024-09-17
GRPA24,Pasta,Groceries,11.78,307,2024-11-22
GRBE18,Beans,Groceries,18.58,33,2024-05-04
DAMI14,Milk,Dairy,1.12,399,2024-08-08
GRRI22,Rice,Groceries,11.18,60,2024-09-23
GRPA25,Pasta,Groceries,12.34,466,-
HESH32,Shampoo,Health & Beauty,11.58,187,-
GRBE19,Beans,Groceries,9.92,10,2024-11-13
GRPA26,Pasta,Groceries,15.66,323,2024-07-29
HESH33,Shampoo,Health & Beauty,8.9,221,2024-04-07
HETO32,Toothpaste,Health & Beauty,9.12,262,2024-06-20
DAMI15,Milk,Dairy,7.84,375,2024-07-04
HETO33,Toothpaste,Health & Beauty,19.46,78,2024-09-01
HESO45,Soap,Health & Beauty,9.02,41,-
CLBL39,Bleach,Cleaning,6.21,471,2024-08-13
CLDI23,Disinfectant,Cleaning,11.58,176,2024-11-10
HESO46,Soap,Health & Beauty,13.96,393,-
HESH34,Shampoo,Health & Beauty,3.6,108,2024-05-23
CLDI24,Disinfectant,Cleaning,8.14,488,2024-06-20
GRRI23,Rice,Groceries,3.86,277,2024-07-13
BECO13,Coffee,Beverages,11.52,384,2024-04-03
GRRI24,Rice,Groceries,12.16,207,2024-06-17
GRBE20,Beans,Groceries,2.64,379,2024-05-21
HESH35,Shampoo,Health & Beauty,10.76,292,-
BESO30,Soda,Beverages,9.59,116,-
DAMI16,Milk,Dairy,17.2,33,-
CLDI25,Disinfectant,Cleaning,9.88,158,2024-09-14
DAYO20,Yogurt,Dairy,13.59,352,2024-03-30
BEJU15,Juice,Beverages,2.45,336,2024-05-09
HESO47,Soap,Health & Beauty,8.72,347,2024-06-07
BESO31,Soda,Beverages,16.89,254,2024-09-04
HESH36,Shampoo,Health & Beauty,6.25,378,-
DAYO21,Yogurt,Dairy,16.04,463,-
CLDI26,Disinfectant,Cleaning,1.0,135,2024-08-31
DAEG18,Eggs,Dairy,14.26,279,2024-10-10
BEJU16,Juice,Beverages,11.24,184,2024-10-04
HESH37,Shampoo,Health & Beauty,6.18,146,2024-05-23
GRRI25,Rice,Groceries,1.28,399,2024-04-19
DACH27,Cheese,Dairy,2.07,12,2024-04-04
